song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,18705,0,1,2024-10-30
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,18645,0,2,2024-10-30
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,17648,0,3,2024-10-30
"am_tyler,_the_creator_st._chroma",St. Chroma,"Tyler, The Creator",14384,0,4,2024-10-30
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,13683,0,5,2024-10-30
"am_tyler,_the_creator_darling,_i","Darling, I","Tyler, The Creator",12358,0,6,2024-10-30
"am_tyler,_the_creator_rah_tah_tah",Rah Tah Tah,"Tyler, The Creator",11659,0,7,2024-10-30
am_sabrina_carpenter_taste,Taste,Sabrina Carpenter,11007,0,8,2024-10-30
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,10848,0,9,2024-10-30
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,10602,0,10,2024-10-30
am_lady_gaga_disease,Disease,Lady Gaga,10321,0,11,2024-10-30
"am_tyler,_the_creator_noid",Noid,"Tyler, The Creator",9666,0,12,2024-10-30
"am_tyler,_the_creator_sticky",Sticky,"Tyler, The Creator",9471,0,13,2024-10-30
"am_tyler,_the_creator_hey_jane",Hey Jane,"Tyler, The Creator",8704,0,14,2024-10-30
"am_chappell_roan_good_luck,_babe","Good Luck, Babe",Chappell Roan,8635,0,15,2024-10-30
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,8374,0,16,2024-10-30
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,8228,0,17,2024-10-30
am_sabrina_carpenter_please_please_please,Please Please Please,Sabrina Carpenter,8218,0,18,2024-10-30
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,8170,0,19,2024-10-30
"am_tyler,_the_creator_thought_i_was_dead",Thought I Was Dead,"Tyler, The Creator",7563,0,20,2024-10-30
am_gigi_perez_sailor_song,Sailor Song,Gigi Perez,7347,0,21,2024-10-30
"am_tyler,_the_creator_judge_judy",Judge Judy,"Tyler, The Creator",7298,0,22,2024-10-30
am_teddy_swims_lose_control,Lose Control,Teddy Swims,7297,0,23,2024-10-30
"am_tyler,_the_creator_i_killed_you",I Killed You,"Tyler, The Creator",7167,0,24,2024-10-30
"am_tyler,_the_creator_take_your_mask_off",Take Your Mask Off,"Tyler, The Creator",7004,0,25,2024-10-30
am_hozier_too_sweet,Too Sweet,Hozier,6806,0,26,2024-10-30
"am_tyler,_the_creator_like_him",Like Him,"Tyler, The Creator",5943,0,27,2024-10-30
am_aespa_whiplash,Whiplash,aespa,5814,0,28,2024-10-30
"am_tyler,_the_creator_tomorrow",Tomorrow,"Tyler, The Creator",5585,0,29,2024-10-30
"am_gracie_abrams_i_love_you,_i'm_sorry","I Love You, I'm Sorry",Gracie Abrams,5578,0,30,2024-10-30
am_travis_scott_fen,FEN,Travis Scott,5506,0,31,2024-10-30
am_post_malone_i_had_some_help,I Had Some Help,Post Malone,5468,0,32,2024-10-30
am_jennie_mantra,Mantra,JENNIE,5093,0,33,2024-10-30
am_taylor_swift_cruel_summer,Cruel Summer,Taylor Swift,5085,0,34,2024-10-30
am_myles_smith_stargazing,Stargazing,Myles Smith,5044,0,35,2024-10-30
am_sabrina_carpenter_bed_chem,Bed Chem,Sabrina Carpenter,5005,0,36,2024-10-30
am_billie_eilish_chihiro,CHIHIRO,Billie Eilish,4968,0,37,2024-10-30
am_the_weeknd_dancing_in_the_flames,Dancing In The Flames,The Weeknd,4756,0,38,2024-10-30
am_karol_g_si_antes_te_hubiera_conocido,Si Antes Te Hubiera Conocido,KAROL G,4621,0,39,2024-10-30
am_linkin_park_the_emptiness_machine,The Emptiness Machine,LINKIN PARK,4604,0,40,2024-10-30
"am_tyler,_the_creator_balloon",Balloon,"Tyler, The Creator",4571,0,41,2024-10-30
am_floyymenor_&_cris_mj_gata_only,Gata Only,floyymenor & Cris Mj,4105,0,42,2024-10-30
am_aespa_up,UP,aespa,4000,0,43,2024-10-30
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,3832,0,44,2024-10-30
am_illit_cherish,Cherish,ILLIT,3805,0,45,2024-10-30
"am_tyler,_the_creator_i_hope_you_find_your_way_home",I Hope You Find Your Way Home,"Tyler, The Creator",3769,0,46,2024-10-30
am_morgan_wallen_love_somebody,Love Somebody,Morgan Wallen,3700,0,47,2024-10-30
am_coldplay_viva_la_vida,Viva La Vida,Coldplay,3603,0,48,2024-10-30
am_billie_eilish_lunch,LUNCH,Billie Eilish,3514,0,49,2024-10-30
am_david_guetta_&_sia_titanium,Titanium,David Guetta & Sia,3503,0,50,2024-10-30
"am_adam_port,_stryv_&_malachiii_move",Move,"Adam Port, Stryv & Malachiii",3478,0,51,2024-10-30
am_sabrina_carpenter_juno,Juno,Sabrina Carpenter,3364,0,52,2024-10-30
am_jimin_who,Who,Jimin,3333,0,53,2024-10-30
am_teddy_swims_bad_dreams,Bad Dreams,Teddy Swims,3305,0,54,2024-10-30
am_dasha_austin,Austin,Dasha,3187,0,55,2024-10-30
am_teddy_swims_the_door,The Door,Teddy Swims,3111,0,56,2024-10-30
am_linkin_park_over_each_other,Over Each Other,LINKIN PARK,2914,0,57,2024-10-30
am_óscar_maydon_&_fuerza_regida_tu_boda,Tu Boda,Óscar Maydon & Fuerza Regida,2849,0,58,2024-10-30
am_noah_kahan_stick_season,Stick Season,Noah Kahan,2695,0,59,2024-10-30
am_linkin_park_heavy_is_the_crown,Heavy Is the Crown,LINKIN PARK,2680,0,60,2024-10-30
am_addison_rae_diet_pepsi,Diet Pepsi,Addison Rae,2555,0,61,2024-10-30
"am_coldplay,_little_simz,_burna_boy,_elyanna_&_tini_we_pray",WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI",2520,0,62,2024-10-30
am_the_weeknd_blinding_lights,Blinding Lights,The Weeknd,2513,0,63,2024-10-30
am_aespa_supernova,Supernova,aespa,2444,0,64,2024-10-30
am_dua_lipa_new_rules,New Rules,Dua Lipa,2429,0,65,2024-10-30
am_sza_snooze,Snooze,SZA,2353,0,66,2024-10-30
"am_hugel,_topic_&_arash_i_adore_you",I Adore You,"HUGEL, Topic & Arash",2342,0,67,2024-10-30
am_eminem_mockingbird,Mockingbird,Eminem,2308,0,68,2024-10-30
am_chappell_roan_hot_to_go,HOT TO GO,Chappell Roan,2303,0,69,2024-10-30
am_lisa_moonlit_floor,Moonlit Floor,LISA,2270,0,70,2024-10-30
am_mark_ambor_belong_together,Belong Together,Mark Ambor,2237,0,71,2024-10-30
am_omar_courtz_&_de_la_rose_q_u_e_v_a_s_h_a_c_e_r_h_o_y,Q U E V A S H A C E R H O Y,Omar Courtz & De La Rose,2198,0,72,2024-10-30
am_illit_magnetic,Magnetic,ILLIT,2129,0,73,2024-10-30
am_eminem_houdini,Houdini,Eminem,2091,0,74,2024-10-30
am_tate_mcrae_it's_ok_i'm_ok,It's ok I'm ok,Tate McRae,2059,0,75,2024-10-30
am_artemas_i_like_the_way_you_kiss_me,i like the way you kiss me,Artemas,2037,0,76,2024-10-30
am_sdm_cartier_santos,CARTIER SANTOS,SDM,2026,0,77,2024-10-30
am_taylor_swift_fortnight,Fortnight,Taylor Swift,1997,0,78,2024-10-30
am_coldplay_feelslikeimfallinginlove,feelslikeimfallinginlove,Coldplay,1965,0,79,2024-10-30
am_sdm_pour_elle,POUR ELLE,SDM,1946,0,80,2024-10-30
am_eminem_without_me,Without Me,Eminem,1934,0,81,2024-10-30
am_zach_bryan_28,28,Zach Bryan,1914,0,82,2024-10-30
am_zach_bryan_pink_skies,Pink Skies,Zach Bryan,1891,0,83,2024-10-30
am_coldplay_yellow,Yellow,Coldplay,1885,0,84,2024-10-30
"am_seventeen_love,_money,_fame","LOVE, MONEY, FAME",SEVENTEEN,1882,0,85,2024-10-30
"am_shirin_david_&_sampagne_rich_girl,_it_girl","Rich Girl, It Girl",Shirin David & Sampagne,1868,0,86,2024-10-30
