song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",33,0,33,2025-09-01
Ordinary,Alex Warren,207,0,207,2025-09-01
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",73,0,73,2025-09-01
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",39,0,39,2025-09-01
Sapphire,Ed Sheeran,88,0,88,2025-09-01
JUMP,BLACKPINK,53,0,53,2025-09-01
Tears,Sabrina Carpenter,4,0,4,2025-09-01
Manchild,Sabrina Carpenter,88,0,88,2025-09-01
No Broke Boys,Disco Lines & Tinashe,73,0,73,2025-09-01
Die With A Smile,Lady Gaga & Bruno Mars,382,0,382,2025-09-01
Azizam,Ed Sheeran,151,0,151,2025-09-01
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",39,0,39,2025-09-01
APT.,ROSÉ & Bruno Mars,319,0,319,2025-09-01
Oh Very Young,Cat Stevens,4,0,4,2025-09-01
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",72,0,72,2025-09-01
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",73,0,73,2025-09-01
"Red, White and Jersey",Bon Jovi,4,0,4,2025-09-01
Pink Pony Club,Chappell Roan,407,0,407,2025-09-01
Messy,Lola Young,286,0,286,2025-09-01
Man I Need,Olivia Dean,17,0,17,2025-09-01
Beautiful Things,Benson Boone,592,0,592,2025-09-01
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",38,0,38,2025-09-01
DAISIES,Justin Bieber,53,0,53,2025-09-01
BIRDS OF A FEATHER,Billie Eilish,473,0,473,2025-09-01
The Subway,Chappell Roan,32,0,32,2025-09-01
Lose Control,Teddy Swims,785,0,785,2025-09-01
Survive,Lewis Capaldi,67,0,67,2025-09-01
undressed,sombr,112,0,112,2025-09-01
Everybody Scream,Florence + the Machine,12,0,12,2025-09-01
Mystical Magical,Benson Boone,130,0,130,2025-09-01
ICONIK,ZEROBASEONE,1,0,1,2025-09-01
Born Slippy,Underworld,3,0,3,2025-09-01
A Bar Song,Shaboozey,508,0,508,2025-09-01
Bad Dreams,Teddy Swims,354,0,354,2025-09-01
Always Remember Us This Way,Lady Gaga,2181,0,2181,2025-09-01
The Door,Teddy Swims,591,0,591,2025-09-01
Better Me For You,Max McNown,160,0,160,2025-09-01
Everybody’s Looking At Me,Eminem,7,0,7,2025-09-01
End of the World,Miley Cyrus,151,0,151,2025-09-01
The Sound of Silence,Disturbed,1833,0,1833,2025-09-01
Stargazing,Myles Smith,480,0,480,2025-09-01
QUE CE SOIT CLAIR,Paul Kalkbrenner & Stromae,4,0,4,2025-09-01
Thunderstruck,Ac/Dc,827,0,827,2025-09-01
Ordinary,Alex Warren & Luke Combs,24,0,24,2025-09-01
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",136,0,136,2025-09-01
Viva la Vida,Coldplay,1832,0,1832,2025-09-01
PARADISE,TREASURE,1,0,1,2025-09-01
Be Mine,KAMRAD,109,0,109,2025-09-01
Hollow Man,Bon Jovi & Bruce Springsteen,4,0,4,2025-09-01
Blessings,Calvin Harris & Clementine Douglas,116,0,116,2025-09-01
Shine in the Cruel Night,LiSA,44,0,44,2025-09-01
Nice To Each Other,Olivia Dean,46,0,46,2025-09-01
Il mio giorno preferito,Eros Ramazzotti,11,0,11,2025-09-01
Soleil Bleu,Bleu Soleil & LUIZA,59,0,59,2025-09-01
TAKEDOWN,TWICE,67,0,67,2025-09-01
Iris,The Goo Goo Dolls,272,0,272,2025-09-01
NOKIA,Drake,199,0,199,2025-09-01
A Little More,Ed Sheeran,25,0,25,2025-09-01
Kiss Me,Sixpence None the Richer,1,0,1,2025-09-01
Abracadabra,Lady Gaga,211,0,211,2025-09-01
Perfect,Ed Sheeran,2951,0,2951,2025-09-01
Sarà perché ti amo,Ricchi & Poveri,560,0,560,2025-09-01
How Do I Say Goodbye,Dean Lewis,682,0,682,2025-09-01
I Ain't a Bitch,Alaura Lynne,17,0,17,2025-09-01
Espresso Macchiato,Tommy Cash,122,0,122,2025-09-01
Jealous Type,Doja Cat,11,0,11,2025-09-01
A Sky Full of Stars,Coldplay,2587,0,2587,2025-09-01
BETTER THAN ME,TREASURE,1,0,1,2025-09-01
NOW FOREVER,TREASURE,1,0,1,2025-09-01
A World Where the Sun Never Rises,Aimer,39,0,39,2025-09-01
Stumblin' In,Cyril,597,0,597,2025-09-01
The beginning of the world,Koichi Domoto,1,0,1,2025-09-01
12 to 12,sombr,22,0,22,2025-09-01
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",34,0,34,2025-09-01
Good News,Shaboozey,291,0,291,2025-09-01
Your New Morning Alarm,Marc Rebillet,98,0,98,2025-09-01
The Glen,Levi Heron,115,0,115,2025-09-01
Moonlight,XXXTENTACION,142,0,142,2025-09-01
Show Me Love,WizTheMc & bees & honey,163,0,163,2025-09-01
EVERYTHING,TREASURE,1,0,1,2025-09-01
On The Way,Aina The End,51,0,51,2025-09-01
CHARISMAX,Snow Man,7,0,7,2025-09-01
Don't Stop Believin',Journey,586,0,586,2025-09-01
Lose My Mind,Don Toliver,66,0,66,2025-09-01
Flieg,Herbert Grönemeyer & Suena,4,0,4,2025-09-01
Just Keep Watching,Tate McRae,95,0,95,2025-09-01
I Am Not Okay,Jelly Roll,419,0,419,2025-09-01
"Good Luck, Babe",Chappell Roan,423,0,423,2025-09-01
F1,Hans Zimmer,57,0,57,2025-09-01
I Got U,Katie Price,3,0,3,2025-09-01
Wackelkontakt,Oimara,227,0,227,2025-09-01
Beautiful People,David Guetta & Sia,179,0,179,2025-09-01
Gabriela,KATSEYE,21,0,21,2025-09-01
T’Aimer Encore,Florent Pagny,12,0,12,2025-09-01
Anxiety,Doechii,181,0,181,2025-09-01
The First Time,Damiano David,32,0,32,2025-09-01
XOXZ,IVE,8,0,8,2025-09-01
I'm Not in Love,10cc,2,0,2,2025-09-01
