song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
mariah_carey_all_i_want_for_christmas_is_you,All I Want for Christmas Is You,Mariah Carey,1951580032,0,1,2025-12-08
wham!_last_christmas,Last Christmas,Wham!,1625319202,0,2,2025-12-08
brenda_lee_rockin'_around_the_christmas_tree,Rockin' Around The Christmas Tree,Brenda Lee,1215597399,0,3,2025-12-08
taylor_swift_the_fate_of_ophelia,The Fate of Ophelia,Taylor Swift,599368195,0,4,2025-12-08
bobby_helms_jingle_bell_rock,Jingle Bell Rock,Bobby Helms,1086987260,0,5,2025-12-08
huntr/x_golden,Golden,HUNTR/X,1100121870,0,6,2025-12-08
ariana_grande_santa_tell_me,Santa Tell Me,Ariana Grande,1088752797,0,7,2025-12-08
dean_martin_let_it_snow!_let_it_snow!_let_it_snow!,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,694847881,0,8,2025-12-08
kelly_clarkson_underneath_the_tree,Underneath the Tree,Kelly Clarkson,708581330,0,9,2025-12-08
sia_snowman,Snowman,Sia,722900786,0,10,2025-12-08
michael_bublé_it's_beginning_to_look_a_lot_like_christmas,It's Beginning to Look a Lot Like Christmas,Michael Bublé,1023450545,0,11,2025-12-08
olivia_dean_man_i_need,Man I Need,Olivia Dean,432999739,0,12,2025-12-08
sombr_back_to_friends,back to friends,sombr,1168619037,0,13,2025-12-08
andy_williams_it's_the_most_wonderful_time_of_the_year,It's the Most Wonderful Time of the Year,Andy Williams,891457418,0,14,2025-12-08
alex_warren_ordinary,Ordinary,Alex Warren,1348854119,0,15,2025-12-08
the_ronettes_sleigh_ride,Sleigh Ride,The Ronettes,552292975,0,16,2025-12-08
djo_end_of_beginning,End of Beginning,Djo,1767828045,0,17,2025-12-08
josé_feliciano_feliz_navidad,Feliz Navidad,José Feliciano,676946887,0,18,2025-12-08
justin_bieber_mistletoe,Mistletoe,Justin Bieber,667299348,0,19,2025-12-08
michael_bublé_holly_jolly_christmas,Holly Jolly Christmas,Michael Bublé,632747927,0,20,2025-12-08
nat_king_cole_the_christmas_song_(merry_christmas_to_you),The Christmas Song (Merry Christmas To You),Nat King Cole,466028217,0,21,2025-12-08
olivia_dean_so_easy_(to_fall_in_love),So Easy (To Fall In Love),Olivia Dean,207623989,0,22,2025-12-08
