video_id,song_name,artist_name,views,likes,comments,chart_position,collection_date
"yt_unknown_sasirekha_lyrical_|_mana_shankara_varaprasad_garu_|_chiranjeevi,_nayanthara_|_bheems_|_an","Sasirekha Lyrical | Mana Shankara Varaprasad Garu | Chiranjeevi, Nayanthara | Bheems | Anil Ravipudi",Unknown,6017739,0,0,1,2025-12-08
yt_unknown_“golden”_official_lyric_video_|_kpop_demon_hunters_|_sony_animation,“Golden” Official Lyric Video | KPop Demon Hunters | Sony Animation,Unknown,5093936,0,0,2,2025-12-08
yt_babymonster_'psycho'_performance_video,'PSYCHO' PERFORMANCE VIDEO,BABYMONSTER,4344293,0,0,3,2025-12-08
yt_nijjar_god_did_(official_music_video)_latest_punjabi_songs_2025,God Did (Official Music Video) Latest Punjabi Songs 2025,Nijjar,3339668,0,0,4,2025-12-08
yt_unknown_[_恆星不忘_✦_forever_forever_]__周杰倫jay_╳_言承旭jerry_╳_吳建豪vanness_╳_周渝民vic__╳_五月天阿信_ashin｜music_,[ 恆星不忘 ✦ Forever Forever ]  周杰倫Jay ╳ 言承旭Jerry ╳ 吳建豪VanNess ╳ 周渝民Vic  ╳ 五月天阿信 Ashin｜Music Video,Unknown,3333749,0,0,5,2025-12-08
yt_babymonster_‘psycho’_m/v,‘PSYCHO’ M/V,BABYMONSTER,2805399,0,0,6,2025-12-08
yt_unknown_#video_|_तुहु_रोअबु_रानी_|_#khesari_lal_yadav_|_tuhu_roabu_rani_|_bhojpuri_new_sad_song_|,#Video | तुहु रोअबु रानी | #Khesari Lal Yadav | Tuhu Roabu Rani | Bhojpuri New Sad Song | GMJ | 2025,Unknown,2702889,0,0,7,2025-12-08
"yt_unknown_""soda_pop""_official_lyric_video_|_kpop_demon_hunters_|_sony_animation","""Soda Pop"" Official Lyric Video | KPop Demon Hunters | Sony Animation",Unknown,2582692,0,0,8,2025-12-08
yt_blok3_kusura_bakma_(official_music_video),KUSURA BAKMA (Official Music Video),BLOK3,2439320,0,0,9,2025-12-08
yt_unknown_pawan_singh_new_song_|_dhamaka_|_trishakar_madhu_|_power_star_|_new_bhojpuri_song_|_bhojp,Pawan Singh New Song | Dhamaka | Trishakar Madhu | Power Star | New Bhojpuri Song | Bhojpuri Gana,Unknown,2398126,0,0,10,2025-12-08
yt_mariah_carey_all_i_want_for_christmas_is_you_(make_my_wish_come_true_edition),All I Want for Christmas Is You (Make My Wish Come True Edition),Mariah Carey,2332579,0,0,11,2025-12-08
yt_rosé_&_bruno_mars_apt._(official_music_video),APT. (Official Music Video),ROSÉ & Bruno Mars,2014473,0,0,12,2025-12-08
"yt_shakira_zoo_(from_""zootopia_2"")_official_music_video","Zoo (From ""Zootopia 2"") Official Music Video",Shakira,1913218,0,0,13,2025-12-08
yt_unknown_श्री_हनुमान_चालीसा_🌺🙏|_shree_hanuman_chalisa_original_video_|🙏🌺|_gulshan_kumar_|_harihara,श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN |Full HD,Unknown,1883659,0,0,14,2025-12-08
yt_wham!_last_christmas_(official_video),Last Christmas (Official Video),Wham!,1777643,0,0,15,2025-12-08
yt_crazy_frog_axel_f_(official_video),Axel F (Official Video),Crazy Frog,1769168,0,0,16,2025-12-08
"yt_lady_gaga,_bruno_mars_die_with_a_smile_(official_music_video)",Die With A Smile (Official Music Video),"Lady Gaga, Bruno Mars",1566879,0,0,17,2025-12-08
"yt_grupo_menos_é_mais,_simone_mendes_p_do_pecado_(ao_vivo)",P do Pecado (Ao Vivo),"Grupo Menos É Mais, Simone Mendes",1511706,0,0,18,2025-12-08
"yt_deewaniyat_title_track_ek_deewane_ki_deewaniyat_|_harshvardhan_sonam_|_vishal_,kaushikguddu,kunaa","Ek Deewane Ki Deewaniyat | Harshvardhan Sonam | Vishal ,KaushikGuddu,Kunaal",DEEWANIYAT Title Track,1510880,0,0,19,2025-12-08
yt_unknown_chikiri_chikiri_video_song_|_peddi_|_ram_charan_|_janhvi_|_buchi_babu_sana_|_ar_rahman|mo,Chikiri Chikiri Video Song | Peddi | Ram Charan | Janhvi | Buchi Babu Sana | AR Rahman|Mohit Chauhan,Unknown,1487785,0,0,20,2025-12-08
yt_taylor_swift_the_fate_of_ophelia_(official_music_video),The Fate of Ophelia (Official Music Video),Taylor Swift,1479009,0,0,21,2025-12-08
yt_unknown_mangli_bayilone_ballipalike_|full_song|suresh_bobbili|nagavva_|kamaleslavath_|shekarvirus,Mangli Bayilone Ballipalike |Full Song|Suresh Bobbili|Nagavva |KamalEslavath |ShekarVirus |DamuReddy,Unknown,1441491,0,0,22,2025-12-08
